"Date,Description,Amount,Category,Payment_Method,Notes"
"2024-01-01,Whole Foods Market,127.85,Food & Dining,Credit Card,Weekly grocery shopping"
"2024-01-01,Shell Gas Station,45.50,Transportation,Debit Card,Fill up tank"
"2024-01-02,Starbucks,8.75,Food & Dining,Credit Card,Morning coffee"
"2024-01-02,Netflix Subscription,15.99,Entertainment,Credit Card,Monthly subscription"
"2024-01-03,Uber Ride,23.40,Transportation,Credit Card,Ride to airport"
"2024-01-03,Amazon Purchase,89.99,Shopping,Credit Card,Office supplies"
"2024-01-04,Electric Bill,156.78,Utilities,Bank Transfer,Monthly electric bill"
"2024-01-04,Chipotle,12.50,Food & Dining,Credit Card,Lunch"
"2024-01-05,CVS Pharmacy,34.67,Healthcare,Debit Card,Prescription pickup"
"2024-01-05,Gym Membership,29.99,Health & Fitness,Credit Card,Monthly gym fee"
"2024-01-06,Target,78.45,Shopping,Credit Card,Household items"
"2024-01-06,Movie Theater,24.00,Entertainment,Credit Card,Weekend movie"
"2024-01-07,Trader Joe's,56.32,Food & Dining,Debit Card,Grocery shopping"
"2024-01-07,Gas Station,42.10,Transportation,Credit Card,Gas fill up"
"2024-01-08,Spotify Premium,9.99,Entertainment,Credit Card,Music subscription"
"2024-01-08,Local Restaurant,45.67,Food & Dining,Credit Card,Dinner out"
"2024-01-09,Internet Bill,79.99,Utilities,Bank Transfer,Monthly internet"
"2024-01-09,Coffee Shop,6.25,Food & Dining,Cash,Afternoon coffee"
"2024-01-10,Amazon Prime,14.99,Shopping,Credit Card,Monthly subscription"
"2024-01-10,Parking Meter,5.00,Transportation,Cash,Downtown parking"
"2024-01-11,Grocery Store,98.76,Food & Dining,Debit Card,Weekly groceries"
"2024-01-11,Apple App Store,2.99,Entertainment,Credit Card,App purchase"
"2024-01-12,Gas Station,38.90,Transportation,Credit Card,Gas fill up"
"2024-01-12,Fast Food,11.50,Food & Dining,Debit Card,Quick lunch"
"2024-01-13,Home Depot,134.55,Home & Garden,Credit Card,Home repair supplies"
"2024-01-13,Phone Bill,85.00,Utilities,Bank Transfer,Monthly phone bill"
"2024-01-14,Bookstore,27.99,Education,Credit Card,Personal development book"
"2024-01-14,Restaurant,67.89,Food & Dining,Credit Card,Date night dinner"
"2024-01-15,Car Insurance,125.00,Insurance,Bank Transfer,Monthly car insurance"
"2024-01-15,Pharmacy,18.45,Healthcare,Debit Card,Over-the-counter medicine"
"2024-01-16,Costco,156.78,Shopping,Credit Card,Bulk shopping"
"2024-01-16,Coffee Shop,7.50,Food & Dining,Credit Card,Morning coffee"
"2024-01-17,Uber Eats,28.95,Food & Dining,Credit Card,Food delivery"
"2024-01-17,Streaming Service,11.99,Entertainment,Credit Card,Monthly subscription"
"2024-01-18,Pet Store,45.20,Pets,Debit Card,Dog food and supplies"
"2024-01-18,Gas Station,41.75,Transportation,Credit Card,Weekly gas"
"2024-01-19,Grocery Store,87.65,Food & Dining,Debit Card,Fresh produce shopping"
"2024-01-19,Dry Cleaner,23.00,Personal Care,Cash,Dry cleaning service"
"2024-01-20,Health Insurance,285.00,Insurance,Bank Transfer,Monthly health premium"
"2024-01-20,Fast Casual,14.75,Food & Dining,Credit Card,Quick dinner"
"2024-01-21,Electronics Store,199.99,Shopping,Credit Card,New headphones"
"2024-01-21,Coffee Shop,5.95,Food & Dining,Debit Card,Afternoon coffee"
"2024-01-22,Water Bill,45.67,Utilities,Bank Transfer,Monthly water bill"
"2024-01-22,Restaurant,52.30,Food & Dining,Credit Card,Weekend brunch"
"2024-01-23,Car Maintenance,295.00,Transportation,Credit Card,Oil change and service"
"2024-01-23,Grocery Store,76.88,Food & Dining,Debit Card,Weekly shopping"
"2024-01-24,Movie Streaming,8.99,Entertainment,Credit Card,Monthly subscription"
"2024-01-24,Fast Food,9.25,Food & Dining,Cash,Quick breakfast"
"2024-01-25,Department Store,125.60,Shopping,Credit Card,Clothing purchase"
"2024-01-25,Gas Station,44.20,Transportation,Credit Card,Gas fill up"
"2024-01-26,Doctor Visit,150.00,Healthcare,Credit Card,Regular checkup"
"2024-01-26,Lunch Spot,16.50,Food & Dining,Debit Card,Work lunch"
"2024-01-27,Online Course,49.99,Education,Credit Card,Professional development"
"2024-01-27,Grocery Store,92.45,Food & Dining,Credit Card,Weekend shopping"
"2024-01-28,Public Transit,25.00,Transportation,Cash,Monthly bus pass"
"2024-01-28,Coffee Shop,6.75,Food & Dining,Credit Card,Morning coffee"
"2024-01-29,Utility Bill,123.45,Utilities,Bank Transfer,Gas and electric"
"2024-01-29,Restaurant,38.90,Food & Dining,Credit Card,Casual dinner"
"2024-01-30,Donation,50.00,Charity,Credit Card,Monthly charitable giving"
"2024-01-30,Grocery Store,68.75,Food & Dining,Debit Card,End of month shopping"
"2024-01-31,Savings Transfer,500.00,Savings,Bank Transfer,Monthly savings goal"
